match_id,innings,team,bowler,overs,balls,runs,wickets,dots,fours,sixes,wides,noballs,economy,strike_rate,average
3,1,Bangladesh,Rubel Hossain,4.0,24,36,3,8,3,1,0,0,9.0,8.0,12.0
3,1,Bangladesh,Shakib Al Hasan,4.0,24,22,0,10,2,0,0,0,5.5,0.0,0.0
3,1,Bangladesh,Mosaddek Hossain,3.7,22,31,1,6,2,1,0,0,8.45,22.0,31.0
3,1,Bangladesh,Soumya Sarkar,1.0,6,21,0,1,0,3,0,0,21.0,0.0,0.0
3,2,New Zealand,MJ Santner,4.0,24,37,1,6,5,0,2,0,9.25,24.0,37.0
3,2,New Zealand,BM Wheeler,4.0,24,29,0,9,4,0,0,0,7.25,0.0,0.0
3,2,New Zealand,TA Boult,4.0,24,48,2,5,8,1,0,0,12.0,12.0,24.0
3,2,New Zealand,JDS Neesham,1.0,6,17,0,0,3,0,0,0,17.0,0.0,0.0
3,2,New Zealand,IS Sodhi,4.0,24,22,2,9,1,0,1,0,5.5,12.0,11.0
3,2,New Zealand,C de Grandhomme,1.0,6,5,0,1,0,0,0,0,5.0,0.0,0.0
3,2,New Zealand,KS Williamson,2.0,12,9,1,3,0,0,0,0,4.5,12.0,9.0
unknown,1,New Zealand,TA Boult,4.0,24,12,2,15,0,0,0,0,3.0,12.0,6.0
unknown,1,New Zealand,BM Wheeler,4.0,24,49,1,9,8,2,0,0,12.25,24.0,49.0
unknown,1,New Zealand,TG Southee,4.0,24,47,1,8,6,2,1,0,11.75,24.0,47.0
unknown,1,New Zealand,MJ Santner,4.0,24,44,0,2,1,3,0,0,11.0,0.0,0.0
unknown,1,New Zealand,C de Grandhomme,3.0,18,22,2,5,0,1,1,0,7.33,9.0,11.0
unknown,1,New Zealand,C Munro,1.0,6,11,0,3,1,1,0,0,11.0,0.0,0.0
unknown,2,South Africa,CH Morris,3.0,18,10,2,14,2,0,0,0,3.33,9.0,5.0
unknown,2,South Africa,D Paterson,2.0,12,14,0,4,0,1,0,0,7.0,0.0,0.0
unknown,2,South Africa,WD Parnell,3.0,18,40,0,4,1,4,1,0,13.33,0.0,0.0
unknown,2,South Africa,AL Phehlukwayo,3.0,18,19,3,9,3,0,1,0,6.33,6.0,6.33
unknown,2,South Africa,Imran Tahir,3.8,23,24,5,12,1,2,0,0,6.26,4.6,4.8
1,1,England,DJ Willey,4.0,24,34,1,8,1,2,1,0,8.5,24.0,34.0
1,1,England,MA Wood,4.0,24,36,2,10,3,2,0,0,9.0,12.0,18.0
1,1,England,CJ Jordan,4.0,24,31,0,6,2,1,0,0,7.75,0.0,0.0
1,1,England,LA Dawson,4.0,24,17,0,9,0,0,0,0,4.25,0.0,0.0
1,1,England,MS Crane,4.0,24,24,0,8,2,0,0,0,6.0,0.0,0.0
1,2,South Africa,JT Smuts,3.0,18,21,0,6,1,1,0,0,7.0,0.0,0.0
1,2,South Africa,WD Parnell,2.0,12,31,0,3,4,1,1,0,15.5,0.0,0.0
1,2,South Africa,AL Phehlukwayo,1.5,9,11,1,4,2,0,0,0,7.33,9.0,11.0
1,2,South Africa,Imran Tahir,3.0,18,37,0,4,2,3,0,0,12.33,0.0,0.0
1,2,South Africa,T Shamsi,3.0,18,23,0,6,1,1,0,0,7.67,0.0,0.0
1,2,South Africa,D Pretorius,2.0,12,20,0,2,2,0,1,0,10.0,0.0,0.0
2,1,England,DJ Willey,4.0,24,29,1,9,3,1,0,0,7.25,24.0,29.0
2,1,England,CJ Jordan,4.0,24,38,1,10,3,2,4,0,9.5,24.0,38.0
2,1,England,TK Curran,4.0,24,33,3,9,2,2,0,0,8.25,8.0,11.0
2,1,England,LE Plunkett,4.0,24,36,2,8,4,1,1,0,9.0,12.0,18.0
2,1,England,LA Dawson,4.0,24,38,1,6,1,3,0,0,9.5,24.0,38.0
2,2,South Africa,M Morkel,4.0,24,47,0,8,7,1,0,1,11.75,0.0,0.0
2,2,South Africa,CH Morris,4.0,24,19,3,15,2,0,1,0,4.75,8.0,6.33
2,2,South Africa,D Paterson,4.0,24,34,1,8,4,0,4,0,8.5,24.0,34.0
2,2,South Africa,AL Phehlukwayo,4.0,24,35,2,6,5,0,0,0,8.75,12.0,17.5
2,2,South Africa,JT Smuts,1.0,6,12,0,0,2,0,0,0,12.0,0.0,0.0
2,2,South Africa,T Shamsi,3.0,18,24,0,4,1,1,0,0,8.0,0.0,0.0
3,1,South Africa,CH Morris,4.0,24,25,0,10,1,1,1,0,6.25,0.0,0.0
3,1,South Africa,M Morkel,4.0,24,33,1,11,4,1,1,0,8.25,24.0,33.0
3,1,South Africa,AL Phehlukwayo,4.0,24,44,2,5,3,2,1,0,11.0,12.0,22.0
3,1,South Africa,D Paterson,4.0,24,32,4,11,3,2,0,0,8.0,6.0,8.0
3,1,South Africa,Imran Tahir,4.0,24,47,1,6,5,1,0,0,11.75,24.0,47.0
3,2,England,DJ Willey,4.0,24,44,0,9,2,3,1,0,11.0,0.0,0.0
3,2,England,TK Curran,4.0,24,25,2,12,2,1,0,0,6.25,12.0,12.5
3,2,England,CJ Jordan,4.0,24,31,3,9,3,0,1,1,7.75,8.0,10.33
