match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
13,T20,2022/23,Sydney Cricket Ground,Sydney,2022-10-22,male,20,6,DP Conway,Australia,field,New Zealand,89,89,unknown,unknown,New Zealand,Australia
15,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-23,male,20,6,BKG Mendis,Ireland,bat,Sri Lanka,9,9,unknown,unknown,Ireland,Sri Lanka
16,T20,2022/23,Melbourne Cricket Ground,Melbourne,2022-10-23,male,20,6,V Kohli,India,field,India,4,4,unknown,unknown,Pakistan,India
17,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-24,male,20,6,Taskin Ahmed,Netherlands,field,Bangladesh,9,9,unknown,unknown,Bangladesh,Netherlands
18,T20,2022/23,"Bellerive Oval, Hobart",Hobart,2022-10-24,male,20,6,,Zimbabwe,bat,unknown,unknown,0,unknown,unknown,Zimbabwe,South Africa
19,T20,2022/23,Perth Stadium,Perth,2022-10-25,male,20,6,MP Stoinis,Australia,field,Australia,7,7,unknown,unknown,Sri Lanka,Australia
20,T20,2022/23,Melbourne Cricket Ground,Melbourne,2022-10-26,male,20,6,A Balbirnie,England,field,Ireland,5,5,unknown,unknown,Ireland,England
22,T20,2022/23,Sydney Cricket Ground,Sydney,2022-10-27,male,20,6,RR Rossouw,South Africa,bat,South Africa,104,104,unknown,unknown,South Africa,Bangladesh
23,T20,2022/23,Sydney Cricket Ground,Sydney,2022-10-27,male,20,6,SA Yadav,India,bat,India,56,56,unknown,unknown,India,Netherlands
24,T20,2022/23,Perth Stadium,Perth,2022-10-27,male,20,6,Sikandar Raza,Zimbabwe,bat,Zimbabwe,1,1,unknown,unknown,Zimbabwe,Pakistan
27,T20,2022/23,Sydney Cricket Ground,Sydney,2022-10-29,male,20,6,GD Phillips,New Zealand,bat,New Zealand,65,65,unknown,unknown,New Zealand,Sri Lanka
28,T20,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2022-10-30,male,20,6,Taskin Ahmed,Bangladesh,bat,Bangladesh,3,3,unknown,unknown,Bangladesh,Zimbabwe
29,T20,2022/23,Perth Stadium,Perth,2022-10-30,male,20,6,Shadab Khan,Netherlands,bat,Pakistan,6,6,unknown,unknown,Netherlands,Pakistan
30,T20,2022/23,Perth Stadium,Perth,2022-10-30,male,20,6,L Ngidi,India,bat,South Africa,5,5,unknown,unknown,India,South Africa
31,T20,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2022-10-31,male,20,6,AJ Finch,Ireland,field,Australia,42,42,unknown,unknown,Australia,Ireland
33,T20,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2022-11-01,male,20,6,JC Buttler,England,bat,England,20,20,unknown,unknown,England,New Zealand
34,T20,2022/23,Adelaide Oval,Adelaide,2022-11-02,male,20,6,MP O'Dowd,Zimbabwe,bat,Netherlands,5,5,unknown,unknown,Zimbabwe,Netherlands
35,T20,2022/23,Adelaide Oval,Adelaide,2022-11-02,male,20,6,V Kohli,Bangladesh,field,India,5,5,unknown,unknown,India,Bangladesh
36,T20,2022/23,Sydney Cricket Ground,Sydney,2022-11-03,male,20,6,Shadab Khan,Pakistan,bat,Pakistan,33,33,unknown,unknown,Pakistan,South Africa
37,T20,2022/23,Adelaide Oval,Adelaide,2022-11-04,male,20,6,KS Williamson,Ireland,field,New Zealand,35,35,unknown,unknown,New Zealand,Ireland
39,T20,2022/23,Sydney Cricket Ground,Sydney,2022-11-05,male,20,6,AU Rashid,Sri Lanka,bat,England,4,4,unknown,unknown,Sri Lanka,England
40,T20,2022/23,Adelaide Oval,Adelaide,2022-11-06,male,20,6,CN Ackermann,South Africa,field,Netherlands,13,13,unknown,unknown,Netherlands,South Africa
41,T20,2022/23,Adelaide Oval,Adelaide,2022-11-06,male,20,6,Shaheen Shah Afridi,Bangladesh,bat,Pakistan,5,5,unknown,unknown,Bangladesh,Pakistan
42,T20,2022/23,Melbourne Cricket Ground,Melbourne,2022-11-06,male,20,6,SA Yadav,India,bat,India,71,71,unknown,unknown,India,Zimbabwe
unknown,T20,2022/23,Sydney Cricket Ground,Sydney,2022-11-09,male,20,6,Mohammad Rizwan,New Zealand,bat,Pakistan,7,7,unknown,unknown,New Zealand,Pakistan
unknown,T20,2022/23,Adelaide Oval,Adelaide,2022-11-10,male,20,6,AD Hales,England,field,England,10,10,unknown,unknown,India,England
unknown,T20,2022/23,Melbourne Cricket Ground,Melbourne,2022-11-13,male,20,6,SM Curran,England,field,England,5,5,unknown,unknown,Pakistan,England
1,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-18,male,20,6,Aarif Sheikh,Oman,field,Nepal,39,39,unknown,unknown,Nepal,Oman
2,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-18,male,20,6,M Spoors,Philippines,field,Canada,118,118,unknown,unknown,Canada,Philippines
3,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-18,male,20,6,V Aravind,United Arab Emirates,bat,United Arab Emirates,18,18,unknown,unknown,United Arab Emirates,Ireland
4,T20,2021/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,2022-02-18,male,20,6,Junaid Aziz,Bahrain,field,Bahrain,6,6,unknown,unknown,Germany,Bahrain
